olid,lt,lg,c,rg,rt
1659,DB-0350,JS-3500,ED-0500,TL-0300,MN-0400
1660,JG-3900,TW-1400,RK-0100,NC-0150,GH-0200
1661,LH-1550,JB-3900,JH-2900,GR-0300,JT-3500
1662,BA-0200,JA-1050,RH-3200,GS-0400,DS-4050
1663,CR-0900,JT-3450,NH-0200,JC-3000,DF-1250
1664,JL-2500,CW-2700,SW-0800,RS-0100,JB-1400
1665,JS-5700,AS-2700,JG-2400,AB-2100,AD-0600
1666,JV-0300,KB-0500,SW-1900,MB-3600,TP-0600
1667,AC-1200,HT-0600,SS-0400,JL-2000,GC-0400
1668,BM-1600,NG-0100,MP-2000,JJ-2100,TC-1400
1669,AW-1100,CB-2000,KC-2300,MP-1400,AC-2200
1670,NS-0500,LM-0200,RW-1600,DC-3400,WS-1000
1671,WB-0400,JB-5400,DD-1400,JP-4350,KB-1400
1672,JG-3100,AM-0100,SL-0300,MS-0550,CY-0300
1673,AC-1200,JR-1600,SS-0400,MM-2600,GC-0400
1674,AC-2200,AW-1100,KC-2300,MP-1400,AS-2000
1675,MA-0250,RF-0900,CW-0400,DD-0750,MG-0500
1676,JV-0300,KB-0500,SW-1900,LN-0400,TP-0600
1677,DS-4050,JA-1050,RH-3200,GS-0400,EF-0050
1678,JL-2500,CW-2700,TB-0550,HD-0100,RS-0100
1679,WB-0400,JB-5400,KB-1400,DD-1400,JP-4350
1680,RO-0400,JC-1000,MU-0400,JS-7450,BG-0500
1681,AC-1200,HT-0600,MM-2600,JR-1600,GC-0400
1682,LH-1550,JB-3900,JH-2900,PK-0250,RS-0650
1683,BM-1600,SB-1450,MP-2000,JJ-2100,TC-1400
1684,JL-2500,CW-2700,TB-0550,RS-0100,JB-1400
1685,MK-0150,CJ-1500,JS-7200,JB-3200,PL-0300
1686,AC-1200,XN-0100,SS-0400,MM-2600,GC-0400
1687,CB-2400,JM-2600,BM-1900,UN-0100,AP-0370
1688,MR-1700,AL-0700,BS-1150,CW-0650,BS-3900
1689,TA-0850,BG-2200,BD-0800,JE-1000,ZS-0200
1690,WB-0400,JB-5400,KB-1400,BM-3650,JP-4350
1691,RO-0400,PM-0700,MU-0400,MB-3250,BG-0500
1692,KB-0750,RF-0900,CW-0400,DD-0750,MG-0500
1693,LM-0200,JK-1650,RW-1600,DC-3400,MC-0400
1694,AC-2200,AW-1100,KC-2300,KZ-0050,AS-2000
1695,JT-1600,GG-0320,AM-0100,JG-3100,MS-0550
1696,RS-0100,CW-2700,TB-0550,SS-1900,JB-1400
1697,DS-4050,RW-0950,EK-0800,RJ-1150,EF-0050
1698,RO-0400,MB-3250,MU-0400,JS-7450,BG-0500
1699,KD-1600,CR-0900,NH-0200,JT-3450,DF-1250
1700,DB-0350,JS-3500,CL-0975,TL-0300,BB-3700
1701,RO-0400,JC-1000,MU-0400,JS-7450,JB-5750
1702,TA-0850,BG-2200,JG-2400,JE-1000,ZS-0200
1703,JM-1450,JB-3900,JH-2900,JA-2500,LH-1550
1704,CG-1250,CW-2700,EW-1600,EP-0300,SH-0650
1705,EF-0050,MM-2600,RH-3200,ZF-0300,JA-1050
1706,MR-1700,AL-0700,BS-1150,CW-0650,MO-0200
1707,JL-2500,RS-0100,SW-0800,DJ-3000,JB-1400
1708,NS-0500,JD-1750,MC-0400,DC-3400,SV-0400
1709,BA-0200,DC-3000,SS-0400,SS-1900,JJ-0650
1710,DF-0600,BW-2670,NM-0200,WC-0200,BG-0500
1711,DP-1100,GJ-0050,SW-1900,AH-3700,KB-0500
